date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002272,35046.09,26538.66,35984.99,1034.032139330274,70.09218,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002273,35399.12,26538.66,35984.99,1057.6684150923975,70.79824,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002274,35624.72,26538.66,35984.99,1053.9778140143692,71.24944,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002275,36701.09,26538.66,36106.0,1152.8501130133425,73.40218,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002276,37301.63,26538.66,37972.24,1156.3101049409609,74.60325999999999,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002277,37130.0,26555.0,37972.24,1126.6686688737495,74.26,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002278,37064.13,26685.0,37972.24,1081.2723353827676,74.12826,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002279,36462.93,26789.0,37972.24,1081.537882855427,72.92586,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002280,35551.19,26808.25,37972.24,1143.142319794325,71.10238000000001,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002281,37858.2,27112.66,37972.24,1248.6321540947304,75.7164,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002282,36163.51,28069.32,37980.0,1332.9827145165355,72.32702,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002283,36613.92,28100.66,37980.0,1304.833949193926,73.22784,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002284,36568.1,28100.66,37980.0,1259.267952822931,73.1362,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002285,37359.86,28578.29,37980.0,1249.0330990498646,74.71972000000001,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002286,37448.78,29464.77,37980.0,1236.4593062605886,74.89756,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002287,35741.65,29640.0,37980.0,1284.8864986705469,71.4833,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002288,37408.34,29883.6,37980.0,1352.3296059083648,74.81667999999999,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002289,37294.28,32832.34,37980.0,1311.6946340577674,74.58856,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002290,37713.57,33390.95,37980.0,1301.0371601964982,75.42714,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002291,37780.67,33390.95,38414.0,1229.31307732532,75.56134,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002292,37447.43,33390.95,38414.0,1188.9785718020826,74.89486000000001,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002293,37242.7,33860.0,38414.0,1165.6393881019342,74.4854,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002294,37818.87,33930.0,38414.0,1190.1358603803671,75.63774000000001,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002295,37854.64,34025.0,38414.0,1167.9832989246268,75.70928,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002296,37723.96,34025.0,38450.0,1130.6880632871535,75.44792,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002297,38682.52,34097.39,38450.0,1148.7203444809281,77.36504,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002298,39450.35,34120.0,38999.0,1143.4924627322903,78.9007,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002299,39972.26,34120.0,39717.14,1131.467286822841,79.94452000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002300,41991.1,34448.0,40250.0,1225.486766335495,83.98219999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002301,44073.32,34448.0,42420.0,1357.5234258829598,88.14664,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002302,43762.69,34523.06,44488.0,1329.2667526056057,87.52538000000001,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002303,43273.14,34523.06,44488.0,1321.9069845623485,86.54628,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002304,44170.99,34800.0,44488.0,1343.1207713793237,88.34197999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002305,43713.6,34800.0,44700.0,1302.4342877093718,87.4272,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002306,43789.51,34800.0,44700.0,1244.1175528729882,87.57902,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002307,41253.4,34800.0,44700.0,1411.1448705249177,82.5068,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002308,41492.39,34800.0,44700.0,1412.0716654874238,82.98478,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002309,42869.03,34800.0,44700.0,1519.7951179526076,85.73806,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002310,43022.26,34800.0,44700.0,1555.52403809885,86.04452,0,,0,,0,,0,,0,,0,
