date,close,trend_pred,real_trend,hit
2270,35062.07,UP,DOWN,0
2271,35011.88,UP,UP,1
2272,35046.09,UP,UP,1
2273,35399.12,UP,UP,1
2274,35624.72,UP,UP,1
2275,36701.09,UP,UP,1
2276,37301.63,UP,DOWN,0
2277,37130.0,UP,DOWN,0
2278,37064.13,UP,DOWN,0
2279,36462.93,UP,DOWN,0
2280,35551.19,UP,UP,1
2281,37858.2,UP,DOWN,0
2282,36163.51,UP,UP,1
2283,36613.92,UP,DOWN,0
2284,36568.1,UP,UP,1
2285,37359.86,UP,UP,1
2286,37448.78,UP,DOWN,0
2287,35741.65,UP,UP,1
2288,37408.34,UP,DOWN,0
2289,37294.28,UP,UP,1
2290,37713.57,UP,UP,1
2291,37780.67,UP,DOWN,0
2292,37447.43,UP,DOWN,0
2293,37242.7,UP,UP,1
2294,37818.87,UP,UP,1
2295,37854.64,UP,DOWN,0
2296,37723.96,UP,UP,1
2297,38682.52,UP,UP,1
2298,39450.35,UP,UP,1
2299,39972.26,UP,UP,1
2300,41991.1,UP,UP,1
2301,44073.32,UP,DOWN,0
2302,43762.69,UP,DOWN,0
2303,43273.14,UP,UP,1
2304,44170.99,UP,DOWN,0
2305,43713.6,UP,UP,1
2306,43789.51,UP,DOWN,0
2307,41253.4,UP,UP,1
2308,41492.39,UP,UP,1
2309,42869.03,UP,UP,1
2310,43022.26,UP,DOWN,0
2311,41940.3,UP,UP,1
2312,42278.03,UP,DOWN,0
2313,41374.65,UP,UP,1
2314,42657.8,UP,DOWN,0
2315,42275.99,UP,UP,1
2316,43668.93,UP,UP,1
2317,43861.8,UP,UP,1
2318,43969.04,UP,DOWN,0
2319,43702.16,UP,DOWN,0
2320,42991.5,UP,UP,1
2321,43576.13,SIDE,DOWN,0
2322,42508.93,SIDE,UP,0
2323,43428.85,SIDE,DOWN,0
2324,42563.76,SIDE,DOWN,0
2325,42066.95,SIDE,UP,0
2326,42140.28,SIDE,UP,0
2327,42283.58,SIDE,UP,0
2328,44179.55,DOWN,UP,0
2329,44946.91,DOWN,DOWN,1
2330,42845.23,DOWN,UP,0
2331,44151.1,DOWN,DOWN,1
2332,44145.11,SIDE,DOWN,0
2333,43968.32,SIDE,DOWN,0
2334,43929.02,SIDE,UP,0
2335,46951.04,SIDE,DOWN,0
2336,46110.0,SIDE,UP,0
2337,46653.99,SIDE,DOWN,0
2338,46339.16,SIDE,DOWN,0
2339,42782.73,SIDE,UP,0
2340,42847.99,SIDE,DOWN,0
2341,41732.35,SIDE,UP,0
2342,42511.1,UP,UP,1
2343,43137.95,UP,DOWN,0
2344,42776.1,UP,DOWN,0
2345,41327.5,UP,UP,1
2346,41659.03,SIDE,UP,0
2347,41696.04,SIDE,DOWN,0
2348,41580.33,SIDE,DOWN,0
2349,39568.02,DOWN,UP,0
2350,39897.6,DOWN,UP,0
2351,40084.88,DOWN,DOWN,1
2352,39961.09,DOWN,UP,0
2353,41823.51,DOWN,UP,0
2354,42120.63,DOWN,DOWN,1
2355,42031.06,DOWN,UP,0
2356,43302.7,DOWN,DOWN,1
2357,42941.1,DOWN,DOWN,1
2358,42580.0,DOWN,UP,0
2359,43082.94,DOWN,UP,0
2360,43200.0,SIDE,DOWN,0
2361,43011.09,SIDE,DOWN,0
2362,42582.88,UP,UP,1
2363,42708.7,UP,UP,1
2364,43098.95,UP,UP,1
2365,44349.6,UP,UP,1
2366,45288.65,UP,UP,1
2367,47132.77,UP,UP,1
2368,47751.09,UP,UP,1
2369,48299.99,UP,UP,1
2370,49917.27,UP,DOWN,0
2371,49699.59,UP,UP,1
2372,51795.17,UP,UP,1
2373,51880.0,UP,UP,1
2374,52124.11,UP,DOWN,0
2375,51642.64,UP,UP,1
2376,52137.67,UP,DOWN,0
2377,51774.73,UP,UP,1
2378,52258.82,UP,DOWN,0
2379,51849.39,UP,DOWN,0
2380,51288.42,UP,DOWN,0
2381,50744.15,UP,UP,1
2382,51568.22,UP,UP,1
2383,51728.85,UP,UP,1
2384,54476.47,SIDE,UP,0
2385,57037.34,SIDE,UP,0
2386,62432.1,SIDE,DOWN,0
2387,61130.98,SIDE,UP,0
2388,62387.9,SIDE,DOWN,0
2389,61987.28,SIDE,UP,0
2390,63113.97,SIDE,UP,0
2391,68245.71,SIDE,DOWN,0
2392,63724.01,SIDE,UP,0
2393,66074.04,SIDE,UP,0
2394,66823.17,SIDE,UP,0
2395,68124.19,UP,UP,1
2396,68313.27,UP,UP,1
2397,68955.88,UP,UP,1
2398,72078.1,UP,DOWN,0
2399,71452.01,UP,UP,1
2400,73072.41,UP,DOWN,0
2401,71388.94,UP,DOWN,0
2402,69499.85,UP,DOWN,0
2403,65300.63,UP,UP,1
2404,68393.48,UP,DOWN,0
2405,67609.99,UP,DOWN,0
2406,61937.4,UP,UP,1
2407,67840.51,UP,DOWN,0
2408,65501.27,UP,DOWN,0
2409,63796.64,UP,UP,1
2410,63990.01,SIDE,UP,0
2411,67209.99,DOWN,UP,0
2412,69880.01,DOWN,UP,0
2413,69988.0,DOWN,DOWN,1
2414,69469.99,DOWN,UP,0
2415,70780.6,DOWN,DOWN,1
2416,69850.54,DOWN,DOWN,1
2417,69582.18,DOWN,UP,0
2418,71280.01,DOWN,DOWN,1
2419,69649.8,DOWN,DOWN,1
2420,65463.99,DOWN,UP,0
2421,65963.28,DOWN,UP,0
2422,68487.79,DOWN,DOWN,1
2423,67820.62,DOWN,UP,0
2424,68896.0,SIDE,UP,0
2425,69360.39,SIDE,UP,0
